date,triple_screen,ts_target,rsi2,rsi2_strict,bb_revert,triple_screen_rf,rsi2_rf,bb_revert_rf,mom_12_1,mom_12_1_nf,SPY
2023-09-30,9684.83,9935.49,10032.35,9888.12,9848.43,9684.83,10032.35,9848.43,10000.0,10000.0,9909.36
2023-10-31,9398.08,9645.11,10001.87,9881.67,9844.85,9346.57,10090.53,9844.85,9881.23,9881.23,9694.24
2023-11-30,10196.55,10200.18,10934.36,10387.71,10151.84,9456.23,10802.86,9928.95,9896.39,11478.47,10579.75
2023-12-31,10571.02,10576.59,11353.31,11355.07,10387.58,9834.09,11216.77,10316.12,10390.84,12010.54,11018.1
2024-01-31,10097.99,10626.21,11047.36,11344.25,10561.19,9346.08,10914.5,10610.61,10820.22,12480.15,11193.58
2024-02-29,9913.37,10734.69,11706.89,11502.23,10972.53,9095.77,11566.09,11023.61,12115.56,13933.88,11777.74
2024-03-31,10325.15,10520.23,12554.87,11906.91,11671.92,9472.21,12403.88,11685.71,12402.67,14253.07,12125.22
2024-04-30,9711.22,9262.98,12855.76,12201.06,10711.02,8909.08,12701.15,10740.08,11478.64,13190.07,11636.34
2024-05-31,9288.33,9140.68,13249.61,11557.98,10856.0,8521.1,13090.26,10936.84,12325.13,14122.96,12224.9
2024-06-30,9133.31,8858.62,13349.72,11997.11,10991.05,8378.88,13189.17,11172.13,12313.89,14080.03,12615.5
2024-07-31,9036.24,8809.4,13295.26,12221.65,10954.18,8289.83,13135.36,11106.5,11079.49,12655.14,12768.26
2024-08-31,9080.67,8453.38,13159.82,11721.55,11015.75,8330.59,13001.55,11157.93,11316.84,12917.89,13066.6
2024-09-30,8954.02,8899.96,13739.73,12045.98,11649.21,8214.4,13574.49,11799.56,12070.88,13791.5,13300.26
2024-10-31,9454.34,8835.82,12957.76,11670.14,11368.49,8673.39,12801.93,11515.21,12394.58,14144.49,13181.58
2024-11-30,9946.51,8971.84,13755.43,12591.84,11580.19,9124.91,13590.0,11729.65,14469.05,16549.49,13967.64
2024-12-31,9047.62,8365.01,12917.38,12194.12,10594.91,8300.27,12762.03,10731.65,13369.95,15282.08,13585.85
2025-01-31,9757.52,8640.79,13581.68,12696.33,11380.06,8951.53,13418.34,11526.94,14338.65,16440.51,13950.72
2025-02-28,9624.34,8429.23,13326.5,12272.47,10878.6,8829.35,13166.22,11019.0,13601.19,15573.43,13773.61
2025-03-31,8917.62,8143.21,12949.47,11848.5,10585.01,8445.05,12307.94,10581.96,12525.5,14331.45,12967.15
2025-04-30,8424.37,7246.13,12808.9,11213.59,10893.27,8286.43,12270.01,10101.0,12455.76,15162.49,12854.72
2025-05-31,8685.57,7599.45,12674.54,11825.67,10978.92,8275.76,12431.27,10305.99,12455.76,16743.0,13662.58
2025-06-30,8392.22,7633.58,13160.67,12343.05,11325.78,8313.17,12908.07,10529.67,13265.04,17895.27,14322.31
2025-07-31,8865.05,7496.28,12962.25,12564.26,10895.89,8536.89,12713.46,10130.0,14146.85,19416.76,14652.17
2025-08-31,8268.48,7460.82,13786.47,11936.55,11375.31,7807.78,13521.86,10575.72,13779.62,18914.02,14952.83
2025-09-30,7942.49,7853.38,13960.57,12186.49,11384.89,7742.2,13692.61,10584.63,14627.59,20274.15,15442.64
2025-10-31,8333.0,7319.79,13998.75,12408.8,11071.52,8021.21,13730.07,10293.29,14490.85,20348.47,15810.75
2025-11-30,8364.78,7378.04,13561.81,12450.84,11725.19,8051.79,13301.51,10901.01,14205.62,19564.79,15841.58
2025-12-31,7648.94,7311.1,13387.41,11831.12,11940.86,7362.74,13130.46,11101.53,14802.7,20440.39,15807.51
2026-01-31,8377.32,7804.75,12929.99,11991.62,11307.0,8063.86,12681.82,10512.22,17834.39,23781.55,16040.47
2026-02-28,8530.52,8467.28,13074.48,12314.49,10266.47,8211.33,12823.53,9544.83,18464.4,24382.08,15901.85
2026-03-31,8182.45,8039.66,11930.95,10945.3,9549.13,7612.52,11510.06,8917.72,17156.05,22753.0,15075.45
2026-04-30,8865.36,8445.68,10735.83,9983.47,10565.67,7401.22,10484.4,9079.16,17499.61,32236.78,16659.17
2026-05-31,9116.98,9008.0,10387.74,10028.35,10618.69,7061.05,10189.33,8727.37,21740.31,41046.61,17535.87
2026-06-30,9587.69,9226.37,10270.69,10084.3,10596.77,7296.06,10074.5,8579.77,24465.46,46868.86,17310.79
2026-07-31,8946.18,9064.34,10518.04,11641.52,11478.11,6940.47,10317.12,9314.15,17923.04,34207.11,17316.81
2026-08-31,8877.52,9248.55,10827.54,11527.79,11529.12,6888.45,10620.71,9355.49,18954.81,36168.63,17780.89
2026-09-30,9247.99,9283.55,10492.95,10837.78,11126.94,7174.77,10292.52,9029.18,19279.51,36678.82,17677.74
