rank,ticker,name,sector,index,strategy,status,signal_date,close,high,atr14,atr_pct,entry_mode,buy_stop,ref_price,initial_stop,target,risk_per_share,shares_per_10k,bt_win_rate_lb,bt_win_rate,bt_trades,bt_wins,bt_payoff,bt_expectancy,bt_profit_factor,bt_avg_days,rsi2,w_hist_up,fi2
1,BNY,BNY Mellon,Financials,SPX,bb_revert,新信号,2026-09-16,153.47,156.05,3.237,2.11,next_open,,153.47,143.76,,9.712,20,0.6456611570247934,1.0,7,7,,0.03630267403237077,,6.428571428571429,0.7,False,-7131054.0
2,AMP,Ameriprise Financial,Financials,SPX,bb_revert,新信号,2026-09-16,540.86,556.0,12.282,2.27,next_open,,540.86,504.01,,36.845,5,0.5649937852319398,0.8888888888888888,9,8,0.5023544376873978,0.01706494067345049,4.018835501499183,10.11111111111111,6.6,False,-7318900.0
3,LRCX,Lam Research,Information Technology,SPX+NDX,bb_revert,新信号,2026-09-16,269.23,277.78,15.656,5.82,next_open,,269.23,222.26,,46.969,4,0.5291051942301385,0.875,8,7,0.6380146474882575,0.047965157178503276,4.4661025324178025,8.125,3.3,False,-39986059.0
4,BAC,Bank of America,Financials,SPX,bb_revert,新信号,2026-09-16,57.9,59.39,1.365,2.36,next_open,,57.9,53.81,,4.094,48,0.5230138624217553,0.8181818181818182,11,9,1.0434345537822858,0.02845852366586369,4.695455492020286,7.0,2.1,False,-68888484.0
5,ROP,Roper Technologies,Information Technology,SPX+NDX,bb_revert,新信号,2026-09-16,375.82,380.98,10.759,2.86,next_open,,375.82,343.54,,32.276,6,0.4364905634363539,0.8333333333333334,6,5,1.3528559153553474,0.013241754384163418,6.7642795767767385,7.333333333333333,9.9,False,-5675765.0
6,XYZ,"Block, Inc.",Financials,SPX,bb_revert,新信号,2026-09-16,76.63,78.43,2.665,3.48,next_open,,76.63,68.64,,7.995,25,0.4364905634363539,0.8333333333333334,6,5,0.7591852712766805,0.0419519762418753,3.795926356383402,10.166666666666666,4.1,False,-5573111.0
7,CFG,Citizens Financial Group,Financials,SPX,bb_revert,新信号,2026-09-16,66.84,70.02,1.696,2.54,next_open,,66.84,61.75,,5.089,39,0.4343497069897538,0.7272727272727273,11,8,0.9563872336567611,0.016270102391372464,2.5503659564180294,9.363636363636363,3.9,False,-11788428.0
8,STT,State Street Corporation,Financials,SPX,bb_revert,新信号,2026-09-16,182.9,187.11,4.49,2.45,next_open,,182.9,169.43,,13.47,14,0.40926987910258916,0.75,8,6,0.7012734970424195,0.016328589673041863,2.103820491127258,8.25,5.3,False,-4860876.0
9,JPM,JPMorgan Chase,Financials,SPX,bb_revert,新信号,2026-09-16,348.92,355.6,6.821,1.95,next_open,,348.92,328.46,,20.463,9,0.3967732199795652,0.7,10,7,0.8779957424985743,0.012124545221712812,2.048656732496673,10.2,23.0,False,-16441996.0
10,USB,U.S. Bancorp,Financials,SPX,bb_revert,新信号,2026-09-16,59.73,62.95,1.279,2.14,next_open,,59.73,55.89,,3.837,52,0.35419734749908977,0.6666666666666666,9,6,1.038056185222579,0.01240854972705059,2.076112370445158,11.11111111111111,2.7,False,-29708041.0
11,AMZN,Amazon,Consumer Discretionary,SPX+NDX,bb_revert,新信号,2026-09-16,245.96,249.26,6.128,2.49,next_open,,245.96,227.57,,18.385,10,0.35419734749908977,0.6666666666666666,9,6,0.6074562474770202,0.0054344515203418875,1.2149124949540404,7.0,9.4,False,-101509853.0
12,NTRS,Northern Trust,Financials,SPX,bb_revert,新信号,2026-09-16,176.64,179.51,4.227,2.39,next_open,,176.64,163.96,,12.681,15,0.35379677689163724,0.6363636363636364,11,7,0.8435646877603353,0.008154507329884375,1.4762382035805868,8.272727272727273,7.1,False,-2839942.0
13,HSIC,Henry Schein,Health Care,SPX,bb_revert,新信号,2026-09-16,86.77,88.32,1.716,1.98,next_open,,86.77,81.62,,5.148,38,0.3423719528896193,1.0,2,2,,0.04036188414794922,,6.5,15.3,False,-953125.0
14,PNC,PNC Financial Services,Financials,SPX,bb_revert,新信号,2026-09-16,231.49,240.9,4.964,2.14,next_open,,231.49,216.6,,14.892,13,0.3126695474501863,0.6,10,6,0.8392533154768318,0.004038211191395968,1.2588799732152476,9.7,2.9,False,-17909345.0
15,FDX,FedEx,Industrials,SPX,bb_revert,新信号,2026-09-16,301.72,307.0,7.391,2.45,next_open,,301.72,279.55,,22.173,9,0.2999883213415286,0.6666666666666666,6,4,0.4134896618550044,-0.00248438152356778,0.8269793237100088,11.333333333333334,3.9,False,-7826508.0
16,MS,Morgan Stanley,Financials,SPX,bb_revert,新信号,2026-09-16,202.42,208.08,5.504,2.72,next_open,,202.42,185.91,,16.513,12,0.2800877556899882,0.5454545454545454,11,6,1.0139451637655634,0.005197084433332691,1.2167341965186762,6.909090909090909,3.8,False,-22819114.0
17,MTB,M&T Bank,Financials,SPX,bb_revert,新信号,2026-09-16,226.01,235.44,4.853,2.15,next_open,,226.01,211.45,,14.558,13,0.2800877556899882,0.5454545454545454,11,6,0.9242786603874703,0.002079243006576445,1.1091343924649644,9.181818181818182,1.7,False,-12437001.0
18,GPN,Global Payments,Financials,SPX,bb_revert,新信号,2026-09-16,86.49,89.47,2.787,3.22,next_open,,86.49,78.13,,8.361,23,0.23071993220883702,0.6,5,3,0.2446441033708778,-0.01543018481553925,0.3669661550563167,10.4,15.2,False,-3537883.0
19,RJF,Raymond James Financial,Financials,SPX,bb_revert,新信号,2026-09-16,164.57,168.18,3.975,2.42,next_open,,164.57,152.64,,11.925,16,0.1876128068994087,0.5,6,3,0.40058322101660243,-0.015539488042257818,0.40058322101660243,12.166666666666666,0.4,False,-4512376.0
